X,Y
0,0
0.075101619,-0.147058186
0.223429404,-0.624007211
0.60099104,-0.937423008
0.97079456,-1.134127324
1.340598079,-1.193318384
1.710401599,-1.399089508
1.942674884,-1.799701498
2.043224767,-2.305548101
2.076002806,-2.786376139
2.156610805,-3.273206375
2.233889698,-3.699831772
2.399580886,-4.096313863
2.601291897,-4.499549115
2.819812158,-4.824091109
3.189615678,-5.153775277
3.559419198,-5.518215542
3.929222717,-5.7995434
4.299026237,-5.988692042
4.668829757,-6.120417567
5.038633277,-6.161475011
5.408436796,-6.166265223
5.778240316,-6.030519911
6.15838799,-5.704378812
6.374968723,-5.366261718
6.568275108,-5.91576897
6.750120641,-6.307732473
6.954887879,-6.637302032
7.324691398,-6.840050887
7.694494918,-7.032221799
8.064298438,-7.203236825
8.434101958,-7.344029158
8.803905477,-7.4198427
9.173708997,-7.45938901
9.543512517,-7.468712626
9.913316037,-7.468969434
10.28311956,-7.496426666
10.65292308,-7.535972975
11.0227266,-7.536229783
11.39253012,-7.536486591
11.76233364,-7.494431628
12.13213715,-7.458421204
12.50194067,-7.4450778
12.87174419,-7.415111915
13.24154771,-7.332256315
13.61135123,-7.235800504
13.98115475,-7.155967174
14.35095827,-7.068578171
14.72076179,-6.908654703
15.09056531,-6.747220101
15.46036883,-6.758054852
15.83017235,-6.729600101
16.19997587,-6.628610885
16.56977939,-6.521577131
16.93958291,-6.406987704
17.30938643,-6.298442815
17.67918995,-6.185364523
18.04899347,-6.052641479
18.41879699,-5.918407301
18.78860051,-5.824973759
19.15840403,-5.719451139
19.52820755,-5.579172423
19.89801107,-5.431338032
20.26781459,-5.307681797
20.63761811,-5.188558965
21.00742163,-4.995390535
21.37722515,-4.817333451
21.74702867,-4.636254098
22.11683219,-4.421929782
22.48663571,-4.269561987
22.85643923,-4.111149654
23.22624275,-3.98144888
23.59604627,-3.874415126
23.96584979,-3.648001733
24.33565331,-3.409499262
24.70545683,-3.190641542
25.07526035,-2.985384034
25.44506387,-2.80430468
25.81486738,-2.5174459
26.1846709,-2.195831022
26.4928405,-1.884247573
26.65532993,-1.479880032
26.8081413,-1.050823902
26.95531041,-0.528588287
27,0
